Name,Type,State,City,Zip,Region,isPublic,Institution_Control,Photo,Rank,ACT_Average,Aid,Acceptance Rate,Tuition,GPA_Average,Engineering Reputation Score,Parent_Rank,Enrollment,Business Reputation Score,SAT,Cost After Aid,SAT_Range,ACT_Range,Blurb
Aaniiih Nakoda College,tribal,MT,N/A,N/A,N/A,True,public,N/A,-2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,115,N/A,N/A,N/A,N/A,N/A,Aaniiih Nakoda College is a public institution.    
Abilene Christian University,national-universities,TX,Abilene,79699,N/A,True,private,https://www.usnews.com/dims4/USNEWS/154295b/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F29%2F66cf079a8d9a10be0108b57d478603%2Fcollege-photo_36610.jpg,296,20,N/A,64,44200,3.6,2.3,N/A,3175,2.0,1010,N/A,1010-1250,20-28,"Abilene Christian University is a private institution that was founded in 1906. It has a total undergraduate enrollment of 3,175 (fall 2023), its setting is suburban, and the campus size is 272 acres. It utilizes a semester-based academic calendar. Abilene Christian University's ranking in the 2025 edition of Best Colleges is National Universities, #296. Its tuition and fees are $44,200."
Abraham Baldwin Agricultural College,regional-colleges-south,GA,Tifton,31793,south,True,public,N/A,44,16,N/A,67,N/A,N/A,N/A,N/A,3647,N/A,890,N/A,890-1100,16-21,"Abraham Baldwin Agricultural College is a public institution that was founded in 1908. It has a total undergraduate enrollment of 3,647 (fall 2022), and the campus size is 400 acres.  Abraham Baldwin Agricultural College's ranking in the 2025 edition of Best Colleges is Regional Colleges South, #44. "
Academy of Art University,regional-universities-west,CA,San Francisco,94105,west,True,proprietary,N/A,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4555,N/A,N/A,N/A,N/A,N/A,"Academy of Art University is a proprietary institution that was founded in 1929.   Academy of Art University's ranking in the 2025 edition of Best Colleges is Regional Universities West, #105-115. "
Adams State University,regional-universities-west,CO,Alamosa,81102,west,True,public,https://www.usnews.com/dims4/USNEWS/538bf4d/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F04%2Fae84165c3be420e40e7199f6ae2af2%2FDJI_0147.jpg,-1,15,N/A,31,21847,3.2,N/A,N/A,1749,N/A,910,N/A,910-1130,15-26,"Adams State University is a public institution.  It utilizes a semester-based academic calendar. Adams State University's ranking in the 2025 edition of Best Colleges is Regional Universities West, #105-115. Its in-state tuition and fees are $9,775; out-of-state tuition and fees are $21,847."
Adelphi University,national-universities,NY,Garden City,11530,N/A,True,private,https://www.usnews.com/dims4/USNEWS/ccc859c/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2Ff3%2F22be9e669abf6493ab475fccbe64a5%2Fcollege-photo_37212.jpg,189,23,59,78,49110,3.7,N/A,N/A,5124,2.3,1110,41461.0,1110-1305,23-29,"Adelphi University is a private institution that was founded in 1896. It has a total undergraduate enrollment of 5,124 (fall 2023), its setting is suburban, and the campus size is 75 acres. It utilizes a semester-based academic calendar. Adelphi University's ranking in the 2025 edition of Best Colleges is National Universities, #189. Its tuition and fees are $49,110."
Adrian College,regional-colleges-midwest,MI,Adrian,49221,midwest,True,private,https://www.usnews.com/dims4/USNEWS/5c71648/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F48%2F73bd0689a2418139ac50a9f4053eb7%2Fcollege-photo_697.jpg,32,18,87,68,41684,3.2,N/A,N/A,1678,N/A,880,19483.0,880-1120,18-26,"Adrian College is a private institution that was founded in 1859. It has a total undergraduate enrollment of 1,678 (fall 2023), its setting is suburban, and the campus size is 132 acres. It utilizes a semester-based academic calendar. Adrian College's ranking in the 2025 edition of Best Colleges is Regional Colleges Midwest, #32. Its tuition and fees are $41,684."
AdventHealth University,health,FL,Orlando,32803,N/A,True,private,N/A,-2,N/A,N/A,34,N/A,N/A,N/A,N/A,1110,N/A,N/A,N/A,N/A,N/A,AdventHealth University is a private institution.    
Agnes Scott College,national-liberal-arts-colleges,GA,Decatur,30030,N/A,True,private,https://www.usnews.com/dims4/USNEWS/9350c5c/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2Ff3%2F3368b551708e38e8bc32259fc86009%2Fusnews-campus.jpg,63,26,71,68,50604,3.7,N/A,N/A,911,N/A,1180,27468.0,1180-1350,26-31,"Agnes Scott College is a private institution that was founded in 1889. It has a total undergraduate enrollment of 911 (fall 2023), its setting is city, and the campus size is 100 acres. It utilizes a semester-based academic calendar. Agnes Scott College's ranking in the 2025 edition of Best Colleges is National Liberal Arts Colleges, #63. Its tuition and fees are $50,604."
Alabama A&M University,regional-universities-south,AL,Normal,35762,south,True,public,https://www.usnews.com/dims4/USNEWS/8ad92ff/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2Fa1%2F63386d8b09aaf181f83b4c2f6f77b7%2Fcollege-photo_7105.jpg,97,14,N/A,66,18634,N/A,2.5,N/A,5845,2.1,810,N/A,810-1060,14-19,"Alabama A&M University is a public institution that was founded in 1875. It has a total undergraduate enrollment of 5,845 (fall 2023), and the campus size is 1,173 acres.  Alabama A&M University's ranking in the 2025 edition of Best Colleges is Regional Universities South, #97. Its in-state tuition and fees are $10,024; out-of-state tuition and fees are $18,634."
Alabama State University,national-universities,AL,Montgomery,36101,N/A,True,public,https://www.usnews.com/dims4/USNEWS/473064e/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2Fe4%2F152c17fc5ff69c24531512e0638cc4%2FImage_103_%282%29.JPG,-1,16,N/A,96,19396,3.1,N/A,N/A,3322,N/A,865,N/A,865-1069,16-20,"Alabama State University is a public institution that was founded in 1867. It has a total undergraduate enrollment of 3,322 (fall 2023), and the campus size is 172 acres. It utilizes a semester-based academic calendar. Alabama State University's ranking in the 2025 edition of Best Colleges is National Universities, #392-434. Its in-state tuition and fees are $11,068; out-of-state tuition and fees are $19,396."
Alaska Pacific University,regional-colleges-west,AK,Anchorage,99508,west,True,private,https://www.usnews.com/dims4/USNEWS/b3b598a/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F6f%2F77f90133981627ed1b7cd275e31632%2F8G0A2173.jpg,-1,N/A,N/A,99,N/A,N/A,N/A,N/A,490,N/A,N/A,N/A,N/A,N/A,"Alaska Pacific University is a private institution that was founded in 1959. It has a total undergraduate enrollment of 490 (fall 2022), and the campus size is 170 acres.  Alaska Pacific University's ranking in the 2025 edition of Best Colleges is Regional Colleges West, #42-45. "
Albany College of Pharmacy and Health Sciences,health,NY,Albany,12208,N/A,True,private,https://www.usnews.com/dims4/USNEWS/73fb475/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2Fea%2F8c1e2a1f65a930a553c81d699c22ab%2Fcollege-photo_31346.jpg,-2,N/A,N/A,59,40025,3.5,N/A,N/A,547,N/A,N/A,N/A,N/A,N/A,"Albany College of Pharmacy and Health Sciences is a private institution that was founded in 1881. It has a total undergraduate enrollment of 547 (fall 2023), its setting is urban, and the campus size is 35 acres. It utilizes a semester-based academic calendar.  Its tuition and fees are $40,025."
Albany State University,regional-universities-south,GA,Albany,31705,south,True,public,https://www.usnews.com/dims4/USNEWS/1652791/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F81%2F926f7f5b5f61d8ee58ccbbf1330ac4%2Fcollege-photo_7193.jpg,97,14,N/A,73,19902,N/A,N/A,N/A,6018,N/A,790,N/A,790-958,14-17,"Albany State University is a public institution that was founded in 1903. It has a total undergraduate enrollment of 6,018 (fall 2023), its setting is urban, and the campus size is 231 acres. It utilizes a semester-based academic calendar. Albany State University's ranking in the 2025 edition of Best Colleges is Regional Universities South, #97. Its in-state tuition and fees are $6,500; out-of-state tuition and fees are $19,902."
Albertus Magnus College,regional-universities-north,CT,New Haven,06511,north,True,private,https://www.usnews.com/dims4/USNEWS/1f91495/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F64%2F884531762102cc3725cd525f036aa5%2Fcollege-photo_20214.jpg,120,N/A,N/A,64,41908,2.9,N/A,N/A,892,N/A,820,N/A,820-1150,N/A,"Albertus Magnus College is a private institution that was founded in 1925. It has a total undergraduate enrollment of 892 (fall 2023), its setting is suburban, and the campus size is 50 acres. It utilizes a semester-based academic calendar. Albertus Magnus College's ranking in the 2025 edition of Best Colleges is Regional Universities North, #120. Its tuition and fees are $41,908."
Albion College,national-liberal-arts-colleges,MI,Albion,49224,N/A,True,private,https://www.usnews.com/dims4/USNEWS/e732959/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F92%2F1d9a8d88dc9c50ac90db24ab9c5a8a%2Fcollege-photo_30436.jpg,126,N/A,N/A,83,56950,3.5,N/A,N/A,1354,N/A,N/A,N/A,N/A,N/A,"Albion College is a private institution that was founded in 1835. It has a total undergraduate enrollment of 1,354 (fall 2023), its setting is rural, and the campus size is 574 acres. It utilizes a semester-based academic calendar. Albion College's ranking in the 2025 edition of Best Colleges is National Liberal Arts Colleges, #126. Its tuition and fees are $56,950."
Albizu University,health,PR,San Juan,00902,N/A,True,private,N/A,-2,N/A,N/A,100,N/A,N/A,N/A,N/A,703,N/A,N/A,N/A,N/A,N/A,Albizu University is a private institution.    
Albizu University--Miami,national-universities,FL,Miami,N/A,N/A,True,private,N/A,-2,N/A,N/A,89,N/A,N/A,N/A,N/A,217,N/A,N/A,N/A,N/A,N/A,Albizu University--Miami is a private institution that was founded in 1966.    
Albright College,national-liberal-arts-colleges,PA,Reading,19612,N/A,True,private,https://www.usnews.com/dims4/USNEWS/484a59e/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F80%2Fa41e5e8ab86377e011d7000651e550%2Fcollege-photo_21197.jpg,158,N/A,N/A,83,29082,N/A,N/A,N/A,1323,N/A,N/A,N/A,N/A,N/A,"Albright College is a private institution that was founded in 1856. It has a total undergraduate enrollment of 1,323 (fall 2023), and the campus size is 118 acres. It utilizes a semester-based academic calendar. Albright College's ranking in the 2025 edition of Best Colleges is National Liberal Arts Colleges, #158. Its tuition and fees are $29,082."
Alcorn State University,regional-universities-south,MS,Lorman,39096,south,True,public,https://www.usnews.com/dims4/USNEWS/51d49a7/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2Fda%2F141723e3774954ea31fbffba1b0ed6%2Fcollege-photo_8280.jpg,51,15,N/A,25,8785,3.3,N/A,N/A,2432,N/A,850,N/A,850-998,15-19,"Alcorn State University is a public institution that was founded in 1871. It has a total undergraduate enrollment of 2,432 (fall 2023), its setting is rural, and the campus size is 1,756 acres. It utilizes a semester-based academic calendar. Alcorn State University's ranking in the 2025 edition of Best Colleges is Regional Universities South, #51. Its in-state tuition and fees are $8,785; out-of-state tuition and fees are $8,785."
Alfred State College--SUNY,regional-colleges-north,NY,Alfred,14802,north,True,public,https://www.usnews.com/dims4/USNEWS/2452a2c/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2Fc8%2F9a%2F16c6658b4db396b0567d1fa54319%2Fcustom-hero-image-revised-1920x760.png,10,16,41,82,13452,3,N/A,N/A,3525,N/A,970,24276.0,970-1170,16-23,"Alfred State College--SUNY is a public institution that was founded in 1908. It has a total undergraduate enrollment of 3,525 (fall 2023), its setting is rural, and the campus size is 1,062 acres. It utilizes a semester-based academic calendar. Alfred State College--SUNY's ranking in the 2025 edition of Best Colleges is Regional Colleges North, #10. Its in-state tuition and fees are $8,862; out-of-state tuition and fees are $13,452."
Alfred University,regional-universities-north,NY,Alfred,14802,north,True,private,https://www.usnews.com/dims4/USNEWS/9676d8b/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2Fee%2F4e321461cacf89a9bdfb597f6d9ec1%2Fcollege-photo_25069.jpg,66,24,75,48,41500,3.4,< 2.0,N/A,1463,2.0,1100,27286.0,1100-1280,24-32,"Alfred University is a private institution that was founded in 1836. It has a total undergraduate enrollment of 1,463 (fall 2023), its setting is rural, and the campus size is 600 acres. It utilizes a semester-based academic calendar. Alfred University's ranking in the 2025 edition of Best Colleges is Regional Universities North, #66. Its tuition and fees are $41,500."
Alice Lloyd College,regional-colleges-south,KY,Pippa Passes,41844,south,True,private,https://www.usnews.com/dims4/USNEWS/f5bb8f6/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2Fec%2F08%2F082546f44ba0aeaadad7c991123d%2F190828alice-lloyd-college0.jpg,47,16,84,42,13960,3.3,N/A,N/A,553,N/A,N/A,17738.0,N/A,16-21,"Alice Lloyd College is a private institution that was founded in 1923. It has a total undergraduate enrollment of 553 (fall 2023), its setting is rural, and the campus size is 175 acres. It utilizes a semester-based academic calendar. Alice Lloyd College's ranking in the 2025 edition of Best Colleges is Regional Colleges South, #47. Its tuition and fees are $13,960."
Allegheny College,national-liberal-arts-colleges,PA,Meadville,16335,N/A,True,private,https://www.usnews.com/dims4/USNEWS/2304a07/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F34%2F654b2f04dd18537d6299dccdd61b78%2FBentleybeautiful.jpg,80,25,72,59,56550,3.4,N/A,N/A,1233,N/A,1138,33521.0,1138-1335,25-31,"Allegheny College is a private institution that was founded in 1815. It has a total undergraduate enrollment of 1,233 (fall 2023), and the campus size is 566 acres. It utilizes a semester-based academic calendar. Allegheny College's ranking in the 2025 edition of Best Colleges is National Liberal Arts Colleges, #80. Its tuition and fees are $56,550."
Allen College,health,IA,Waterloo,50703,N/A,True,private,N/A,-2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,278,N/A,N/A,N/A,N/A,N/A,Allen College is a private institution that was founded in 1989.    
Allen University,national-liberal-arts-colleges,SC,Columbia,29204,N/A,True,private,N/A,-1,N/A,N/A,43,N/A,N/A,N/A,N/A,603,N/A,N/A,N/A,N/A,N/A,"Allen University is a private institution that was founded in 1870.   Allen University's ranking in the 2025 edition of Best Colleges is National Liberal Arts Colleges, #187-204. "
Alliant International University,national-universities,CA,San Diego,92131,N/A,True,proprietary,N/A,-2,N/A,N/A,0,N/A,N/A,N/A,N/A,274,N/A,N/A,N/A,N/A,N/A,"Alliant International University is a proprietary institution that was founded in 1969. It has a total undergraduate enrollment of 274 (fall 2022), and the campus size is 60 acres.   "
Alma College,regional-colleges-midwest,MI,Alma,48801,midwest,True,private,https://www.usnews.com/dims4/USNEWS/a940e0d/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F13%2F32%2F2a11bc814c3491694f600c7ad051%2Falma-college-1.jpg,8,22,N/A,66,47430,3.6,N/A,N/A,1235,N/A,950,N/A,950-1180,22-29,"Alma College is a private institution that was founded in 1886. It has a total undergraduate enrollment of 1,235 (fall 2023), and the campus size is 125 acres. It utilizes a 4-1-4-based academic calendar. Alma College's ranking in the 2025 edition of Best Colleges is Regional Colleges Midwest, #8. Its tuition and fees are $47,430."
Alpena Community College,regional-colleges-midwest,MI,Alpena,49707,midwest,True,public,N/A,-2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1536,N/A,N/A,N/A,N/A,N/A,Alpena Community College is a public institution.    
Alvernia University,national-universities,PA,Reading,19607,N/A,True,private,https://www.usnews.com/dims4/USNEWS/8b545fc/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F09%2F427e6e57a23030d84831d4931bef58%2Fcollege-photo_31976.jpg,329,N/A,N/A,62,45000,3.5,N/A,N/A,2050,N/A,1066,N/A,1066-1253,N/A,"Alvernia University is a private institution that was founded in 1958. It has a total undergraduate enrollment of 2,050 (fall 2023), and the campus size is 121 acres. It utilizes a semester-based academic calendar. Alvernia University's ranking in the 2025 edition of Best Colleges is National Universities, #329. Its tuition and fees are $45,000."
Alverno College,regional-universities-midwest,WI,Milwaukee,53234,midwest,True,private,https://www.usnews.com/dims4/USNEWS/823bf71/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F03%2F0107a339fc4e26a1e1bf1d2fd7729a%2Fcollege-photo_29108.jpg,67,16,N/A,93,N/A,3.2,N/A,N/A,887,N/A,N/A,N/A,N/A,16-23,"Alverno College is a private institution that was founded in 1887. It has a total undergraduate enrollment of 887 (fall 2023), its setting is urban, and the campus size is 47 acres. It utilizes a semester-based academic calendar. Alverno College's ranking in the 2025 edition of Best Colleges is Regional Universities Midwest, #67. "
American Academy of Art,specialty-arts,IL,Chicago,60604,N/A,True,private,N/A,-2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,111,N/A,N/A,N/A,N/A,N/A,American Academy of Art is a private institution.    
American International College,national-universities,MA,Springfield,01109,N/A,True,private,https://www.usnews.com/dims4/USNEWS/40124b9/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F3d%2F7a6f33df16530d10082201a8809b12%2Fcollege-photo_2143.jpg,-1,N/A,N/A,89,N/A,N/A,N/A,N/A,1167,N/A,N/A,N/A,N/A,N/A,"American International College is a private institution that was founded in 1885. It has a total undergraduate enrollment of 1,167 (fall 2022), and the campus size is 58 acres.  American International College's ranking in the 2025 edition of Best Colleges is National Universities, #392-434. "
American Musical and Dramatic Academy,specialty-arts,NY,N/A,N/A,N/A,True,private,N/A,-2,N/A,N/A,26,N/A,N/A,N/A,N/A,1471,N/A,N/A,N/A,N/A,N/A,American Musical and Dramatic Academy is a private institution.    
American Samoa Community College,regional-colleges-west,AS,Pago Pago,96799,west,True,public,N/A,-2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1051,N/A,N/A,N/A,N/A,N/A,"American Samoa Community College is a public institution that was founded in 1970. It has a total undergraduate enrollment of 1,051 (fall 2022), and the campus size is 40 acres.   "
American University,national-universities,DC,Washington,20016,N/A,True,private,https://www.usnews.com/dims4/USNEWS/a11b9e6/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2Ff2%2Fce%2F5eb453d14d1aa2fb0d323c45904c%2Fusnews-au-heroimage.png,91,29,45,47,58772,N/A,N/A,N/A,7817,3.1,1290,46102.0,1290-1450,29-32,"American University is a private institution that was founded in 1893. It has a total undergraduate enrollment of 7,817 (fall 2023), and the campus size is 90 acres. It utilizes a semester-based academic calendar. American University's ranking in the 2025 edition of Best Colleges is National Universities, #91. Its tuition and fees are $58,772."
American University of Health Sciences,health,CA,Signal Hill,N/A,N/A,True,proprietary,N/A,-2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,347,N/A,N/A,N/A,N/A,N/A,American University of Health Sciences is a for-profit institution.    
Amherst College,national-liberal-arts-colleges,MA,Amherst,01002,N/A,True,private,https://www.usnews.com/dims4/USNEWS/6478637/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F5c%2F6b3bbcf416787a8cea3c60410f577d%2Fcollege-photo_16085.jpg,2,31,57,10,70480,N/A,N/A,N/A,1910,N/A,1360,19589.0,1360-1550,31-35,"Amherst College is a private institution that was founded in 1821. It has a total undergraduate enrollment of 1,910 (fall 2023), and the campus size is 1,000 acres. It utilizes a semester-based academic calendar. Amherst College's ranking in the 2025 edition of Best Colleges is National Liberal Arts Colleges, #2. Its tuition and fees are $70,480."
Ana G. Mendez University,special-focus,PR,N/A,N/A,N/A,True,private,N/A,-2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4662,N/A,N/A,N/A,N/A,N/A,Ana G. Mendez University is a private institution.    
Anderson University (IN),regional-universities-midwest,IN,Anderson,46012,midwest,True,private,https://www.usnews.com/dims4/USNEWS/6b81e9b/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F84%2F97373b03ed86808f08cb7fc9813a5e%2Fcollege-photo_3110.jpg,67,16,79,53,37200,3.3,2.2,N/A,1095,N/A,940,26202.0,940-1170,16-23,"Anderson University (IN) is a private institution that was founded in 1917. It has a total undergraduate enrollment of 1,095 (fall 2023), its setting is suburban, and the campus size is 100 acres. It utilizes a semester-based academic calendar. Anderson University (IN)'s ranking in the 2025 edition of Best Colleges is Regional Universities Midwest, #67. Its tuition and fees are $37,200."
Anderson University (SC),regional-universities-south,SC,Anderson,29621,south,True,private,https://www.usnews.com/dims4/USNEWS/22bf1e6/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2Fbc%2Fac%2F3311d4c74381ae163ce26b03f991%2F210409-submitted.jpg,34,22,78,53,34920,3.7,N/A,N/A,3414,N/A,1100,37050.0,1100-1290,22-28,"Anderson University (SC) is a private institution that was founded in 1911. It has a total undergraduate enrollment of 3,414 (fall 2023), its setting is city, and the campus size is 389 acres. It utilizes a semester-based academic calendar. Anderson University (SC)'s ranking in the 2025 edition of Best Colleges is Regional Universities South, #34. Its tuition and fees are $34,920."
Andrew College,regional-colleges-south,GA,Cuthbert,39840,south,True,private,N/A,-2,N/A,N/A,50,19126,N/A,N/A,N/A,247,N/A,N/A,N/A,N/A,N/A,"Andrew College is a private institution that was founded in 1854.    Its tuition and fees are $19,126."
Andrews University,national-universities,MI,Berrien Springs,49104,N/A,True,private,N/A,273,20,N/A,78,35056,3.6,< 2.0,N/A,1483,N/A,1060,N/A,1060-1270,20-27,"Andrews University is a private institution that was founded in 1874. It has a total undergraduate enrollment of 1,483 (fall 2023), its setting is rural, and the campus size is 300 acres. It utilizes a semester-based academic calendar. Andrews University's ranking in the 2025 edition of Best Colleges is National Universities, #273. Its tuition and fees are $35,056."
Angelo State University,regional-universities-west,TX,San Angelo,76909,west,True,public,https://www.usnews.com/dims4/USNEWS/ca42e7c/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F1c%2F67778d1c9e3538aea18a1b0c5dab62%2FDSC_3841.jpg,64,17,N/A,76,22043,3.6,2.3,N/A,9623,< 2.0,920,N/A,920-1140,17-24,"Angelo State University is a public institution that was founded in 1928. It has a total undergraduate enrollment of 9,623 (fall 2023), and the campus size is 268 acres.  Angelo State University's ranking in the 2025 edition of Best Colleges is Regional Universities West, #64. Its in-state tuition and fees are $9,443; out-of-state tuition and fees are $22,043."
Anna Maria College,regional-universities-north,MA,Paxton,01612,north,True,private,https://www.usnews.com/dims4/USNEWS/6f32817/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F44%2F3cb5ce0689f8eb0e34e2770dc000c2%2Fcollege-photo_1167.jpg,147,N/A,N/A,70,N/A,N/A,N/A,N/A,1069,N/A,N/A,N/A,N/A,N/A,"Anna Maria College is a private institution that was founded in 1946. It has a total undergraduate enrollment of 1,069 (fall 2022), and the campus size is 192 acres.  Anna Maria College's ranking in the 2025 edition of Best Colleges is Regional Universities North, #147. "
Antelope Valley College,regional-colleges-west,CA,Lancaster,93536,west,True,public,N/A,-2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11840,N/A,N/A,N/A,N/A,N/A,Antelope Valley College is a public institution.    
Antioch College,national-liberal-arts-colleges,OH,Yellow Springs,45387,N/A,True,private,N/A,165,N/A,N/A,83,N/A,N/A,N/A,N/A,127,N/A,N/A,N/A,N/A,N/A,"Antioch College is a private institution that was founded in 1850.   Antioch College's ranking in the 2025 edition of Best Colleges is National Liberal Arts Colleges, #165. "
Appalachian Bible College,faith,WV,Bradley,25818,N/A,True,private,N/A,-2,N/A,N/A,100,18230,N/A,N/A,N/A,220,N/A,N/A,N/A,N/A,N/A,"Appalachian Bible College is a private institution.    Its tuition and fees are $18,230."
Appalachian State University,regional-universities-south,NC,Boone,28608,south,True,public,https://www.usnews.com/dims4/USNEWS/85bac6d/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F3b%2Fe0%2Fff305b274e21afc48ebee98dde23%2Fdrone-fall-scenes-wc-cr-3.jpg,3,21,23,89,25768,3.9,N/A,N/A,19405,2.6,1100,33436.0,1100-1280,21-27,"Appalachian State University is a public institution that was founded in 1899. It has a total undergraduate enrollment of 19,405 (fall 2023), and the campus size is 1,200 acres. It utilizes a semester-based academic calendar. Appalachian State University's ranking in the 2025 edition of Best Colleges is Regional Universities South, #3. Its in-state tuition and fees are $8,135; out-of-state tuition and fees are $25,768."
Aquinas College,national-liberal-arts-colleges,MI,Grand Rapids,49506,N/A,True,private,https://www.usnews.com/dims4/USNEWS/a14783c/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F86%2Ff0885ee34b2d41e0436dd0306c4dc4%2Fcollege-photo_17412.jpg,147,20,N/A,71,40218,N/A,N/A,N/A,1113,N/A,1000,N/A,1000-1200,20-26,"Aquinas College is a private institution that was founded in 1886. It has a total undergraduate enrollment of 1,113 (fall 2023), its setting is city, and the campus size is 117 acres. It utilizes a semester-based academic calendar. Aquinas College's ranking in the 2025 edition of Best Colleges is National Liberal Arts Colleges, #147. Its tuition and fees are $40,218."
Arcadia University,regional-universities-north,PA,Glenside,19038,north,True,private,https://www.usnews.com/dims4/USNEWS/0d636b0/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F5e%2F46b98e37bd69513fc496ad31d43e22%2Fcollege-photo_22247.jpg,74,26,N/A,79,N/A,3.4,N/A,N/A,1890,N/A,1083,N/A,1083-1310,26-30,"Arcadia University is a private institution that was founded in 1853. It has a total undergraduate enrollment of 1,890 (fall 2023), its setting is suburban, and the campus size is 76 acres. It utilizes a semester-based academic calendar. Arcadia University's ranking in the 2025 edition of Best Colleges is Regional Universities North, #74. "
Arizona Christian University,regional-colleges-west,AZ,Glendale,85306,west,True,private,https://www.usnews.com/dims4/USNEWS/13c9eab/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2Ff9%2F5888b830c8de5f5630fa2b9994f564%2FCampus-01.jpg,29,17,N/A,74,35047,3.3,N/A,N/A,1210,N/A,1000,N/A,1000-1200,17-25,"Arizona Christian University is a private institution that was founded in 1960. It has a total undergraduate enrollment of 1,210 (fall 2023), its setting is suburban, and the campus size is 75 acres. It utilizes a differs by program-based academic calendar. Arizona Christian University's ranking in the 2025 edition of Best Colleges is Regional Colleges West, #29. Its tuition and fees are $35,047."
Arizona College of Nursing--Las Vegas,health,NV,Las Vegas,N/A,N/A,True,proprietary,N/A,-2,N/A,N/A,100,N/A,N/A,N/A,N/A,1142,N/A,N/A,N/A,N/A,N/A,Arizona College of Nursing--Las Vegas is a for-profit institution.    
Arizona College of Nursing--Tempe,health,AZ,Tempe,N/A,N/A,True,proprietary,N/A,-2,N/A,N/A,100,N/A,N/A,N/A,N/A,1177,N/A,N/A,N/A,N/A,N/A,Arizona College of Nursing--Tempe is a for-profit institution.    
